Month,Avg. Players,Gain,% Gain,Peak Players
01/09/22,490724.9,22258,4.75%,867484
01/08/22,468466.9,23872.3,5.37%,747231
01/07/22,444594.6,-13549,-2.96%,684842
01/06/22,458143.5,11226.6,2.51%,699592
01/05/22,446916.9,-4909.9,-1.09%,691586
01/04/22,451826.8,3103.2,0.69%,730168
01/03/22,448723.6,-1476.5,-0.33%,740784
01/02/22,450200.1,-35591.3,-7.33%,725851
01/01/22,485791.4,36494.1,8.12%,786118
01/12/21,449297.4,436.8,0.10%,756170
01/11/21,448860.5,-1900.9,-0.42%,747506
01/10/21,450761.4,59679.4,15.26%,752482
01/09/21,391082.1,-33898.1,-7.98%,666838
01/08/21,424980.2,1824,0.43%,699613
01/07/21,423156.2,1646.2,0.39%,707406
01/06/21,421510,6365,1.53%,734277
01/05/21,415145,1360,0.33%,672307
01/04/21,413785,23372.2,5.99%,705534
01/03/21,390412.8,-14419.4,-3.56%,648875
01/02/21,404832.1,-27839.5,-6.43%,651615
01/01/21,432671.7,10119.3,2.39%,694613
01/12/20,422552.3,-3352.5,-0.79%,697833
01/11/20,425904.8,19543.5,4.81%,711824
01/10/20,406361.4,-2248.4,-0.55%,723280
01/09/20,408609.8,-21107.3,-4.91%,670547
01/08/20,429717.1,-20496.9,-4.55%,666138
01/07/20,450214,-6970.4,-1.52%,712610
01/06/20,457184.4,-27004.6,-5.58%,733294
01/05/20,484189,-9111.3,-1.85%,793135
01/04/20,493300.3,56152.9,12.85%,801121
01/03/20,437147.4,31168.7,7.68%,743933
01/02/20,405978.7,27053.2,7.14%,663812
01/01/20,378925.4,-5254.3,-1.37%,616415
01/12/19,384179.8,-17752,-4.42%,685165
01/11/19,401931.8,13575.9,3.50%,708517
01/10/19,388355.9,-33615.4,-7.97%,739924
01/09/19,421971.2,-45177.1,-9.67%,753996
01/08/19,467148.3,2360.7,0.51%,826690
01/07/19,464787.6,-42740.8,-8.42%,779160
01/06/19,507528.4,-40994.7,-7.47%,865374
01/05/19,548523.2,28304.2,5.44%,997341
01/04/19,520219,-66286.9,-11.30%,971545
01/03/19,586505.8,21596.2,3.82%,1033925
01/02/19,564909.7,89162.7,18.74%,964921
01/01/19,475747,36379.2,8.28%,874888
01/12/18,439367.8,-21705.7,-4.71%,765422
01/11/18,461073.5,29899.6,6.93%,826053
01/10/18,431173.9,-35296.8,-7.57%,739643
01/09/18,466470.7,-9630.3,-2.02%,826166
01/08/18,476101.1,34386.7,7.78%,829281
01/07/18,441714.3,-32185.7,-6.79%,701582
01/06/18,473900,-425.9,-0.09%,796886
01/05/18,474325.9,43984.9,10.22%,844713
01/04/18,430340.9,-6921.4,-1.58%,733214
01/03/18,437262.3,-1585.4,-0.36%,773897
01/02/18,438847.7,-48014.2,-9.86%,779299
01/01/18,486861.9,-26212.4,-5.11%,778627
01/12/17,513074.3,25693.1,5.27%,864939
01/11/17,487381.2,21254.5,4.56%,861173
01/10/17,466126.8,-25323.4,-5.15%,832550
01/09/17,491450.2,-65046.1,-11.69%,829555
01/08/17,556496.3,58051.9,11.65%,876395
01/07/17,498444.4,-56844.7,-10.24%,824297
01/06/17,555289.1,-12237.4,-2.16%,923122
01/05/17,567526.4,27248.4,5.04%,972876
01/04/17,540278,-8157.4,-1.49%,921318
01/03/17,548435.4,-43131.8,-7.29%,956232
01/02/17,591567.3,11285.8,1.94%,1040877
01/01/17,580281.5,-13639.1,-2.30%,1007451
01/12/16,593920.6,9669.3,1.65%,1014671
01/11/16,584251.3,-55103.8,-8.62%,1007270
01/10/16,639355.1,16771.2,2.69%,1141191
01/09/16,622583.9,-43429.2,-6.52%,1064377
01/08/16,666013.1,27800.4,4.36%,1117519
01/07/16,638212.7,-2014.3,-0.31%,1084198
01/06/16,640227,16428.3,2.63%,1095994
01/05/16,623798.7,-33145.7,-5.05%,1075307
01/04/16,656944.4,-15610.5,-2.32%,1164041
01/03/16,672554.9,-36623.4,-5.16%,1291328
01/02/16,709178.3,97003.5,15.85%,1248394
01/01/16,612174.8,38830.5,6.77%,1067949
01/12/15,573344.3,33807.9,6.27%,999452
01/11/15,539536.3,17594.6,3.37%,943635
01/10/15,521941.7,13784.9,2.71%,917306
01/09/15,508156.8,-98787.1,-16.28%,888728
01/08/15,606944,51953,9.36%,933942
01/07/15,554991,-13457.3,-2.37%,877264
01/06/15,568448.3,-11900.1,-2.05%,913997
01/05/15,580348.4,54286.7,10.32%,967674
01/04/15,526061.7,-45651.4,-7.99%,929677
01/03/15,571713.2,-57257.3,-9.10%,1213940
01/02/15,628970.4,70466.1,12.62%,1262612
01/01/15,558504.3,34564,6.60%,961737
01/12/14,523940.3,-4849.5,-0.92%,936583
01/11/14,528789.8,33096.8,6.68%,963810
01/10/14,495693,17694.6,3.70%,880655
01/09/14,477998.5,-12885.4,-2.62%,864261
01/08/14,490883.9,-46134.8,-8.59%,774319
01/07/14,537018.7,23235.6,4.52%,874975
01/06/14,513783.1,31395.8,6.51%,833145
01/05/14,482387.2,60677,14.39%,843024
01/04/14,421710.2,11954.7,2.92%,734998
01/03/14,409755.6,-11358.6,-2.70%,698197
01/02/14,421114.2,27253.9,6.92%,738682
01/01/14,393860.3,27253.8,7.43%,673496
01/12/13,366606.5,18360.1,5.27%,685503
01/11/13,348246.4,18568.7,5.63%,702792
01/10/13,329677.6,17252.9,5.52%,581615
01/09/13,312424.8,-18295.3,-5.53%,566715
01/08/13,330720.1,92920,39.07%,520532
01/07/13,237800.1,27575.3,13.12%,422617
01/06/13,210224.8,15861,8.16%,326160
01/05/13,194363.8,19528.1,11.17%,325815
01/04/13,174835.7,-6043.2,-3.34%,299667
01/03/13,180878.9,13905.9,8.33%,325598
01/02/13,166973,19224.8,13.01%,283870
01/01/13,147748.1,25823.7,21.18%,260989
01/12/12,121924.4,20847,20.62%,213521
01/11/12,101077.4,25112,33.06%,169631
01/10/12,75965.4,14097.8,22.79%,171860
01/09/12,61867.7,6099.1,10.94%,118724
01/08/12,55768.6,3047.6,5.78%,108689
01/07/12,52721.1,0,0,75041
